Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
shanks/46381,4.088364164110482e-4,4.084187651187222e-4,4.1002436571041984e-4,2.1128811119875717e-6,9.516671486689508e-7,4.337867997816207e-6
shanks/768479,3.2103118721822227e-3,3.206264444015288e-3,3.2194037641289294e-3,1.7662773803476578e-5,9.872230446914353e-6,3.411665889749232e-5
shanks/9476407,1.1433576864616506e-2,1.1418110570167055e-2,1.1468338094598619e-2,6.0416022031963675e-5,2.9278202046221777e-5,1.0795131287873447e-4
shanks/36780481,2.7517371028770984e-2,2.74793743761469e-2,2.759775033407051e-2,1.1156088823867365e-4,5.2238973309222434e-5,1.928051041102509e-4
shanks/562390847,0.11283730345030439,0.1126706770148793,0.11301460930943663,2.556899140426048e-4,1.5653011579745194e-4,4.154981092773974e-4
shanks/1894083629,0.19556206505166907,0.19506618809664755,0.19596016128309576,5.671263560682047e-4,2.5093456091284473e-4,8.163190692548163e-4
shanks/65398261921,2.0399314378106816,2.03606839058409,2.0419802729679812,3.3639572517150827e-3,0.0,3.5486865887765172e-3
shanks/364879542899,6.20768668094933,6.203646814583748,6.210235012995483,3.8409944569144858e-3,0.0,4.413840578494385e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"sqrt mod prime/46381",1.627804794806916e-5,1.6255537081042586e-5,1.6349166858358563e-5,1.2918814790806899e-7,5.164470022342665e-8,2.3328853545023427e-7
"sqrt mod prime/768479",1.0879473106487045e-5,1.0863602358358665e-5,1.0898652654981332e-5,6.240390334825973e-8,5.090223267535164e-8,7.912659715181853e-8
"sqrt mod prime/9476407",1.6150563135287014e-5,1.605934743286042e-5,1.6363154792443826e-5,4.362986547929752e-7,2.1968852882363415e-7,7.647912603068794e-7
"sqrt mod prime/36780481",1.204294539828831e-5,1.1901243398605456e-5,1.2317751796684526e-5,6.443441161752214e-7,3.784855784156514e-7,9.785536241673482e-7
"sqrt mod prime/562390847",1.953628990853426e-5,1.9109864137073295e-5,2.0142481562259576e-5,1.7651566732075213e-6,1.4748293018746076e-6,2.11146024773997e-6
"sqrt mod prime/1894083629",2.3578035109372183e-5,2.3406036132200658e-5,2.3927366764684178e-5,7.966099837507187e-7,3.3831190042624326e-7,1.302508919471615e-6
"sqrt mod prime/65398261921",6.946273576561977e-6,6.913159761946803e-6,6.995744805139261e-6,1.426133764028493e-7,1.0666076472613405e-7,2.1118567457962097e-7
"sqrt mod prime/364879542899",2.2236827587034806e-5,2.1952641582741062e-5,2.266670385374393e-5,1.1581946004895021e-6,8.952838266072156e-7,1.6614405848059306e-6
"sqrt mod prime/8590365927553",7.480110476669725e-5,7.359277130439874e-5,7.717701711214979e-5,5.63756367973585e-6,2.974249722200765e-6,1.027415823074339e-5
